PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,painting_id,artist
-2.0044205,-3.2799973,-2.780482,2.0989618,2.2235012,-3.3881495,-3.71686,1.4946046,0.5217414,-4.6854677,arman_4,armand-fernandez-dit-arman
-1.8276391,-2.6899774,-2.9845836,2.305573,2.0117967,-3.1638687,-3.398551,1.2881968,0.108338505,-4.7844896,arman_5,armand-fernandez-dit-arman
-1.9250957,-3.1299946,-2.4754765,2.0164363,1.8203696,-3.2210474,-3.567437,1.3001279,0.3939693,-4.0304337,arman_6,armand-fernandez-dit-arman
-1.9487995,-3.061984,-3.3121734,2.6142018,1.8838564,-3.4433076,-3.6378214,1.5151446,0.93371195,-4.8364444,arman_7,armand-fernandez-dit-arman
-2.0508769,-3.3527186,-2.633191,2.0775433,2.1611025,-3.3127491,-3.730474,1.4191164,0.5532894,-4.5018735,arman_8,armand-fernandez-dit-arman
-1.7534589,-2.6235645,-3.38643,2.2279108,1.901562,-3.0969558,-3.3749897,1.344289,0.73214674,-4.7763567,arman_9,armand-fernandez-dit-arman
-0.7160721,-1.564804,-3.0586908,1.7873993,1.6207998,-2.2645354,-1.9642327,0.7357106,0.8244805,-3.4224434,arp_1,jean-arp
-0.85153085,-1.7530478,-2.9496672,1.7843385,1.5733544,-2.30226,-2.119069,0.6186606,0.33226565,-3.5319197,arp_2,jean-arp
-1.1894246,-1.5347422,-2.192275,1.424536,1.2488427,-1.8696293,-1.7756288,0.946409,0.44862688,-2.6981804,arp_3,jean-arp
-1.0907313,-1.4385793,-2.2106564,1.6191785,1.1748563,-1.7761974,-1.9360042,0.86327386,0.3944541,-2.9209864,arp_4,jean-arp
-1.3336219,-2.0264647,-2.5096812,1.823287,1.4852765,-2.1413276,-2.0317657,1.0666213,0.48961222,-3.3960786,arp_5,jean-arp
-0.9742156,-1.8856043,-1.7815539,1.3557994,1.1686739,-1.851281,-2.205662,0.9220695,0.2208828,-2.5504265,arp_6,jean-arp
-0.7346907,-1.7601159,-2.4455044,1.5754881,1.4403664,-2.043695,-1.9136335,0.37953007,1.076894,-2.9725864,arp_7,jean-arp
-0.39944702,-0.8972105,-0.68420464,0.6839291,0.8616617,-1.0044998,-0.998178,0.37883955,-0.29727662,-1.322498,backer_1,harriet-backer
0.2928447,-0.09585889,-1.0646288,1.0250793,-0.04185861,-0.47665513,-0.4924631,-0.19460672,-0.39292228,-0.7651233,backer_10,harriet-backer
-0.6037973,-0.8656614,-0.69849503,0.62856245,0.73916006,-0.52281946,-0.50278753,0.32803705,0.18322201,-1.2289699,backer_11,harriet-backer
0.011493184,0.11637174,-0.9627533,0.70999426,0.31758827,-0.36794233,-0.5375859,0.0007676147,-0.30627993,-0.8391235,backer_12,harriet-backer
-0.17508826,-0.3931728,-0.90973043,0.84985983,0.5232525,-0.5909989,-0.86439264,0.085166655,-0.5058683,-1.0748904,backer_13,harriet-backer
-0.5834945,-0.94631076,-1.0146751,0.9179555,0.50541687,-0.99539524,-1.2283635,0.5138468,0.02327739,-1.4277322,backer_14,harriet-backer
-0.38760778,-0.9738033,-0.9372058,1.1660345,0.30861014,-0.70985675,-1.2085733,0.5232534,-0.55311054,-1.3006915,backer_15,harriet-backer
-0.16085345,-0.17167342,-1.4331735,0.9519858,0.41563538,-0.69738865,-0.9429951,0.08945957,0.1107557,-1.377995,backer_16,harriet-backer
-0.44995177,-0.21943392,-1.2624129,0.8254721,0.7339027,-0.6925416,-0.96281207,-0.1238651,-0.23999377,-1.6446211,backer_17,harriet-backer
-0.49171078,-0.4264146,-0.69182354,0.8554822,0.45129737,-0.5471433,-0.92762697,0.2662915,-0.46527615,-1.1754797,backer_18,harriet-backer
-0.12892392,-0.72988564,-0.8994054,1.1314654,0.45941338,-0.67189777,-1.0839596,0.21862856,-0.45692462,-1.132785,backer_19,harriet-backer
-0.40812796,-0.62702024,-0.60149777,0.677805,0.47933486,-0.41417584,-0.55167264,0.3572456,-0.1464479,-0.9098531,backer_2,harriet-backer
-0.39300042,-0.9396249,-0.7961498,0.9861663,0.51121247,-0.5806921,-1.0662996,0.4542529,-0.38658485,-1.2190963,backer_20,harriet-backer
-0.30154285,-0.2325776,-0.86000425,0.70180035,0.54619825,-0.59227353,-0.7007714,0.14632246,-0.4759754,-1.1526488,backer_21,harriet-backer
-0.3327082,-0.26294804,-1.0326785,0.659641,0.6041317,-0.6684712,-0.7571397,0.07896012,-0.39718756,-1.1749294,backer_22,harriet-backer
-0.45208055,-0.72004235,-0.8157265,0.9272221,0.8293729,-0.707942,-0.9947753,0.14006944,-0.66495895,-1.461865,backer_23,harriet-backer
-0.4445911,-0.79281056,-0.7678421,0.87005585,0.6474124,-0.7688142,-0.9338223,0.32562262,-0.34219941,-1.299591,backer_24,harriet-backer
-0.42281216,-0.6161942,-0.95602727,0.7794003,0.67072296,-0.83535486,-1.0481927,0.36335108,-0.33791044,-1.3760953,backer_25,harriet-backer
-0.17226714,-0.32187507,-1.3840722,1.2097859,0.75231445,-0.61613625,-0.61657673,0.23895603,-0.15565984,-1.5338084,backer_26,harriet-backer
-0.5022601,-0.58549255,-0.65474397,0.9810326,0.33628577,-0.70564455,-0.92253834,0.29981795,-0.21532428,-1.1316346,backer_27,harriet-backer
-0.16871896,-0.60950714,-1.0698899,0.96032554,0.7905669,-0.6419528,-0.92191833,0.121460795,-0.7357187,-1.1760713,backer_28,harriet-backer
-0.6515417,-0.7570141,-0.85953176,0.863463,0.806437,-0.7061332,-1.0050629,0.52677685,-0.33891505,-1.49572,backer_29,harriet-backer
-0.33410427,-0.032257058,-0.8662618,1.032073,0.4651254,-0.3591932,-0.5781506,0.0823214,-0.47104844,-1.1441488,backer_3,harriet-backer
-0.23036566,-0.6163785,-0.8327916,0.7462055,0.7167121,-0.7224133,-0.94753504,0.32298076,-0.35423994,-1.3357099,backer_30,harriet-backer
-0.6643763,-1.0500964,-0.7853658,0.9291943,0.78570104,-0.95196867,-1.115318,0.3909199,-0.36752158,-1.4925826,backer_31,harriet-backer
-0.27595899,-0.51573426,-0.8027792,0.83203024,0.6177162,-0.6459849,-0.967216,0.07185616,-0.15568161,-1.1590736,backer_32,harriet-backer
-0.6171572,-0.82871616,-0.79529727,0.8496154,0.897454,-0.67288846,-0.99039686,0.17403717,-0.46087232,-1.4934536,backer_33,harriet-backer
-0.33122274,-0.9463691,-0.74784416,0.8407021,0.6946595,-0.8529482,-1.0169964,0.2773643,-0.42420703,-1.3206937,backer_34,harriet-backer
-0.5945858,-0.81388897,-0.56192994,0.73554903,0.7128353,-0.9802307,-1.0730777,0.35156497,-0.5216721,-1.2870926,backer_35,harriet-backer
-0.2617281,-0.55699044,-0.87301415,0.9255893,0.6335026,-0.60429734,-1.1336836,0.30822846,-0.74372613,-1.3052218,backer_36,harriet-backer
-0.31240988,-0.6889428,-1.0932003,1.0244637,0.7930813,-0.8860059,-1.0058881,0.08825735,-0.24117109,-1.4838083,backer_37,harriet-backer
-0.2624832,-0.101402536,-1.0977983,1.1452384,0.31566957,-0.5421755,-0.8679019,0.106924295,-0.086288035,-1.1765287,backer_4,harriet-backer
-0.57156277,-0.5568335,-0.8348809,1.0128205,0.25989377,-0.6422843,-1.0836833,0.34289297,-0.34477878,-1.3131897,backer_5,harriet-backer
-0.28506526,-0.25532874,-1.1167608,0.8220612,0.5516137,-0.5160308,-0.6902686,0.18020779,-0.43342483,-1.346951,backer_6,harriet-backer
-0.3008258,-0.56039524,-0.9144982,0.94623405,0.39525816,-0.4347701,-0.90208834,0.26721784,-0.6033279,-1.1523126,backer_7,harriet-backer
-0.4254707,-0.38608474,-0.6366385,0.80931616,0.45378968,-0.5688232,-1.030713,0.16540906,-0.08391217,-1.1821057,backer_8,harriet-backer
-0.47080386,-0.4828494,-0.95863473,0.69017977,0.8697834,-0.78852457,-1.121274,0.11138028,-0.25049484,-1.5013987,backer_9,harriet-backer
-1.5995846,-2.5438151,-1.8768935,1.4589496,1.8562782,-2.3882847,-2.3390532,0.96956706,0.17402856,-3.0386052,bacon_1,francis-bacon
-1.7131218,-2.20767,-2.0274632,1.7286654,1.5509934,-2.2683895,-2.65575,1.0424298,0.27606785,-3.420231,bacon_10,francis-bacon
-1.5486697,-2.3768663,-2.0773575,1.6118684,1.6688164,-2.1985564,-2.695021,1.1128767,0.37680003,-3.3127036,bacon_11,francis-bacon
-1.3970917,-2.562434,-2.4198325,1.7669184,1.9828331,-2.5521317,-2.674952,0.8741048,0.2805747,-3.7439284,bacon_12,francis-bacon
-1.543846,-2.7685876,-1.9253904,1.6594667,1.9082625,-2.3121994,-2.3682196,1.3462647,0.26029545,-3.359788,bacon_13,francis-bacon
-1.4487894,-2.4187195,-2.4122238,1.8586264,1.5537431,-2.421919,-2.6888454,1.2914071,0.15434934,-3.3087685,bacon_14,francis-bacon
-1.5651816,-2.686582,-1.8841674,1.927726,1.4762809,-2.1665747,-2.7708385,1.2356198,0.5257213,-2.997404,bacon_15,francis-bacon
-1.4267267,-2.5371008,-2.0553405,1.9136972,1.6542237,-2.41067,-2.350089,0.98358095,0.07379089,-3.4116917,bacon_16,francis-bacon
-1.7059678,-2.827896,-2.0138025,1.6365116,1.6969764,-2.4845912,-2.7532928,1.1717829,0.38548037,-3.3952181,bacon_17,francis-bacon
-1.7286391,-2.395329,-2.17691,1.709441,1.8587276,-2.3001192,-2.62112,1.1997167,0.47008616,-3.5202596,bacon_18,francis-bacon
-1.8999301,-2.774758,-2.0174565,1.7688406,1.6755058,-2.4652414,-2.645359,1.1842046,0.4462229,-3.4416497,bacon_19,francis-bacon
-1.6514896,-2.4142478,-2.401964,1.9225125,1.5469422,-2.6020203,-2.6315155,1.1726028,0.29089388,-3.4987442,bacon_2,francis-bacon
-1.6907008,-2.4330044,-2.3090444,1.8170958,1.5455294,-2.272279,-2.6961458,1.2097092,0.7949116,-3.5294127,bacon_20,francis-bacon
-1.6084483,-2.5508835,-2.1865823,1.7888794,1.957164,-2.4814787,-2.523333,1.0796436,0.008349072,-3.578353,bacon_21,francis-bacon
-1.7204673,-2.7183232,-1.9530107,1.5748625,1.9174674,-2.255234,-2.4775968,1.2419956,0.53642845,-3.4032183,bacon_22,francis-bacon
-1.4430798,-2.490347,-2.3114846,1.8280036,1.5097343,-2.563429,-2.7348416,1.301415,0.2568248,-3.212043,bacon_23,francis-bacon
-1.6037811,-2.6257896,-2.0479386,1.8052282,1.6577889,-2.4543235,-2.7537599,1.0790108,0.07942219,-3.466879,bacon_24,francis-bacon
-1.7981199,-2.556723,-2.274633,1.875818,2.0978427,-2.2059288,-2.7352118,1.3911116,0.29886407,-3.8804731,bacon_25,francis-bacon
-1.2566271,-2.350186,-2.5569696,1.7979205,1.4827764,-2.5180318,-2.4756253,1.0984786,0.759,-3.466868,bacon_26,francis-bacon
-1.175521,-1.9132059,-2.9350998,1.7607212,1.7408274,-2.361687,-2.1238317,1.1586019,0.62165284,-3.5281003,bacon_27,francis-bacon
-1.5196339,-2.248896,-2.5289106,1.8549457,1.821296,-2.4153223,-2.4087954,1.1427798,0.498024,-3.5677,bacon_28,francis-bacon
-1.5121269,-2.580426,-2.4183183,2.0205588,1.6803405,-2.662373,-2.77755,1.2269201,0.21837717,-3.7418604,bacon_29,francis-bacon
-1.6874866,-2.9302878,-2.456523,1.9124758,1.7911271,-2.7911816,-2.7949028,1.4438329,0.5061459,-3.7658107,bacon_3,francis-bacon
-1.5341227,-2.7549329,-1.847418,1.6353862,1.8947273,-2.3122826,-2.5638201,1.2362293,0.32616225,-3.3689425,bacon_30,francis-bacon
-1.4715651,-2.4128797,-1.8797429,1.6826582,1.4443045,-2.3096645,-2.8685215,1.0935918,0.08218031,-3.2063222,bacon_31,francis-bacon
-1.0935731,-2.4738915,-2.0037436,1.4838703,2.140526,-2.2012768,-2.05306,0.9973699,0.27558494,-3.162002,bacon_32,francis-bacon
-1.7506909,-2.2368824,-1.9548353,1.4858239,1.8899401,-2.1480973,-2.598902,0.92286986,0.260828,-3.3180208,bacon_33,francis-bacon
-1.5457304,-2.7082944,-2.2497945,1.899667,1.865718,-2.4636543,-2.687235,1.3112862,0.2124779,-3.5323565,bacon_34,francis-bacon
-1.1084925,-2.124784,-2.3782995,1.5605922,1.7112272,-2.185099,-2.0419598,1.1420373,0.42373225,-3.061957,bacon_35,francis-bacon
-1.2910223,-2.1113758,-2.8459477,1.8059406,2.0253491,-2.418779,-2.3440056,0.8878019,0.35246077,-3.7980378,bacon_36,francis-bacon
-1.5203587,-2.6080966,-2.170282,1.6942952,1.9661133,-2.459246,-2.3468807,1.1012878,0.24021232,-3.459442,bacon_37,francis-bacon
-1.1623867,-2.744768,-2.1898284,1.6266844,2.0471218,-2.5472343,-2.627141,0.9470353,0.4397239,-3.3799784,bacon_38,francis-bacon
-1.6078339,-2.8091738,-2.491852,1.8750987,2.0508473,-2.6456833,-2.4448059,1.1750113,0.22919512,-3.928571,bacon_39,francis-bacon
-1.7342165,-2.5695329,-2.402742,1.690325,1.9877467,-2.4262946,-2.7261186,1.0884624,0.7245943,-3.825292,bacon_4,francis-bacon
-1.4810003,-2.6746163,-2.3711047,1.7384226,1.9769044,-2.4349058,-2.7148826,1.2164205,0.33480072,-3.7327273,bacon_40,francis-bacon
-1.4470865,-2.57021,-2.2799027,1.6221571,2.0467973,-2.3572385,-2.2810552,1.1093801,0.39138243,-3.5149834,bacon_41,francis-bacon
-1.5663751,-2.0136333,-2.3042414,1.8935745,1.4227533,-2.3495548,-2.498336,1.0413743,0.27647433,-3.3740218,bacon_42,francis-bacon
-1.3945113,-2.6375465,-1.918511,1.5735655,1.6097353,-2.362426,-2.715462,1.1528091,0.5517068,-2.9604785,bacon_43,francis-bacon
-1.6041818,-2.829362,-2.0608108,1.915807,1.7935506,-2.512913,-2.5722811,1.2173514,0.2701842,-3.5449882,bacon_44,francis-bacon
-1.2812454,-2.45122,-2.674817,1.8429968,1.8718956,-2.6163828,-2.5398948,1.0722543,0.4118748,-3.6975942,bacon_45,francis-bacon
-1.4799868,-2.2719178,-2.2714353,1.6481452,1.9214971,-2.2827752,-2.631742,1.2584015,0.14615853,-3.62299,bacon_46,francis-bacon
-1.3568608,-2.4550762,-2.0853379,1.5918112,1.5435094,-2.3857868,-2.363984,1.2342857,0.14391641,-3.2575867,bacon_47,francis-bacon
-1.5130726,-2.5879474,-2.1666355,1.6090362,1.9966018,-2.3511453,-2.2793124,1.2765554,0.29244328,-3.4315088,bacon_48,francis-bacon
-1.3211457,-2.4603884,-2.4047327,1.6577711,2.004807,-2.2663593,-2.1518528,1.0164146,0.45031345,-3.5189152,bacon_49,francis-bacon
-1.5638782,-2.7025506,-1.8374633,1.6686661,1.8583727,-2.3082428,-2.1737096,1.3617806,0.12977433,-3.240624,bacon_5,francis-bacon
-1.538779,-3.0825098,-2.5037289,2.0907779,1.9810696,-2.7338853,-2.9014595,1.3487474,0.4164675,-4.0609684,bacon_50,francis-bacon
-1.4408767,-2.367344,-2.1968281,1.5475655,2.2362766,-2.357518,-2.376208,0.99817336,0.08847706,-3.6338985,bacon_51,francis-bacon
-1.4785036,-2.5691793,-2.3918405,1.7445362,1.7838788,-2.3564596,-2.5241303,1.2663678,0.35707024,-3.5128548,bacon_52,francis-bacon
-1.3577882,-2.417029,-2.2329798,1.817549,1.3104283,-2.406612,-2.6174138,1.1714277,0.0706981,-3.1445704,bacon_53,francis-bacon
-1.3447149,-2.3779263,-2.497867,1.7459686,1.7584935,-2.4440556,-2.4679196,1.092607,0.5571332,-3.3304234,bacon_54,francis-bacon
-1.7278928,-2.7654612,-2.1742475,2.047253,1.2997526,-2.5064085,-2.6364958,1.3930213,0.6925115,-3.1604,bacon_55,francis-bacon
-1.5295231,-2.2776062,-2.3089793,1.7635295,1.913646,-2.349302,-2.6066735,1.102065,0.098305464,-3.7351232,bacon_56,francis-bacon
-1.5267862,-2.600418,-2.3008895,1.7385333,1.8755155,-2.4195185,-2.698257,1.094422,0.66870564,-3.385691,bacon_57,francis-bacon
-1.7208567,-2.65393,-1.8285137,1.5888498,1.8483595,-2.189639,-2.3442624,1.3074864,0.1456584,-3.413457,bacon_58,francis-bacon
-1.3033499,-1.8856282,-2.2268307,1.6460464,1.4331064,-2.1022744,-2.703411,0.7840605,0.54014,-3.1847732,bacon_59,francis-bacon
-1.8301709,-2.477412,-1.9442147,1.8321545,1.1439772,-2.351437,-2.6714144,1.2412043,0.6908411,-3.131475,bacon_6,francis-bacon
-1.4569354,-2.1467614,-2.4761152,1.7365503,1.7156758,-2.2176147,-2.364322,1.1501906,0.3508543,-3.2713056,bacon_60,francis-bacon
-1.4061059,-2.4225712,-2.5321803,1.7804358,1.8074563,-2.3364635,-2.5550096,1.2195079,0.4134856,-3.6120162,bacon_61,francis-bacon
-1.47637,-2.5621784,-2.2207289,1.6545091,1.9373739,-2.345229,-2.6145325,1.0786325,0.64447093,-3.4275742,bacon_62,francis-bacon
-1.2911253,-2.5217988,-2.3637052,1.8241823,1.7048216,-2.3690822,-2.4769185,1.3218676,0.58166903,-3.3920536,bacon_63,francis-bacon
-1.3452333,-2.3679879,-2.32406,1.6696751,1.7844236,-2.3643403,-2.2788322,1.0228022,0.50214475,-3.3422978,bacon_64,francis-bacon
-1.1310863,-1.8732562,-2.3255684,1.7179317,1.25874,-1.9928668,-2.3992853,1.1674634,0.5616862,-3.0167186,bacon_65,francis-bacon
-1.4494529,-2.3104036,-2.3264153,1.7429886,1.8210679,-2.3419487,-2.5164218,1.116513,0.29812017,-3.4818115,bacon_66,francis-bacon
-1.5640541,-2.4250646,-2.477,1.8828864,1.4682049,-2.3599718,-2.581635,1.2624017,0.5947159,-3.4695153,bacon_67,francis-bacon
-1.5113304,-2.1340415,-2.1172905,1.7326384,1.4932919,-2.0905333,-2.4820442,1.0218885,0.3345726,-3.129932,bacon_68,francis-bacon
-1.5056129,-2.539557,-2.6418307,1.9919431,1.8817875,-2.7378027,-2.7398577,1.0578454,0.07421371,-3.9741745,bacon_69,francis-bacon
-1.667751,-2.7130916,-2.308487,1.9389188,1.8833318,-2.5499082,-2.6217632,1.3835697,0.30509645,-3.7398615,bacon_7,francis-bacon
-1.559732,-2.5997317,-2.00719,1.5767,1.7937986,-2.214397,-2.4276493,1.3231063,0.5597836,-3.3104613,bacon_70,francis-bacon
-1.4367042,-2.6437502,-2.693331,2.2079453,1.7639794,-2.631597,-2.4940157,1.2138398,0.29567173,-4.0349555,bacon_71,francis-bacon
-1.3366332,-2.4084623,-1.8938977,1.577955,1.604081,-2.052542,-2.351918,1.0399265,0.052008454,-3.1202717,bacon_72,francis-bacon
-1.6968403,-2.5702453,-2.1191032,1.7817118,1.8199496,-2.3500504,-2.5037153,1.2123932,0.3962266,-3.4635386,bacon_73,francis-bacon
-1.5053277,-2.4912894,-2.4178386,1.8340998,1.7306929,-2.3684256,-2.2389486,1.2854832,0.44986022,-3.6535542,bacon_74,francis-bacon
-1.8561733,-2.5375478,-2.006439,1.6995625,1.6549578,-2.2821443,-2.6230812,1.1696842,0.5591845,-3.4029143,bacon_75,francis-bacon
-1.4175506,-2.4646273,-2.2156723,1.7850797,1.786331,-2.362092,-2.7443194,1.1178775,0.42936853,-3.2746527,bacon_76,francis-bacon
-1.6624885,-2.542927,-2.1452248,1.8814051,1.814838,-2.571646,-2.9666486,1.1567558,0.17112423,-3.6640773,bacon_77,francis-bacon
-1.8036543,-2.4206812,-1.9467775,1.6584141,1.8207344,-2.1895263,-2.1577864,1.0949323,0.09680802,-3.4220083,bacon_78,francis-bacon
-1.6877458,-2.2986784,-2.1587975,1.6121018,1.8489572,-2.308043,-2.477925,0.9802489,0.4371528,-3.397486,bacon_79,francis-bacon
