painting_id,artist,path,cluster
appel_11,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_11.jpg,3
appel_12,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_12.jpg,18
appel_13,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_13.jpg,18
appel_14,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_14.jpg,18
appel_2,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_2.jpg,18
appel_3,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_3.jpg,18
appel_4,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_4.jpg,18
appel_5,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_5.jpg,18
appel_6,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_6.jpg,3
appel_7,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_7.jpg,18
appel_8,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_8.jpg,18
appel_9,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_9.jpg,18
arman_1,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_1.jpg,3
arman_2,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_2.jpg,3
arman_3,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_3.jpg,3
arman_4,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_4.jpg,3
arman_5,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_5.jpg,3
arman_6,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_6.jpg,3
arman_7,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_7.jpg,13
arman_8,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_8.jpg,3
arman_9,armand-fernandez-dit-arman,..\bd-peintres-v6\arman - armand-fernandez-dit-arman_1928\arman_9.jpg,3
arp_1,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_1.jpg,16
arp_2,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_2.jpg,16
arp_3,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_3.jpg,16
arp_4,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_4.jpg,16
arp_5,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_5.jpg,16
arp_6,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_6.jpg,19
arp_7,jean-arp,..\bd-peintres-v6\arp - jean-arp_1886\arp_7.jpg,16
backer_1,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_1.jpg,9
backer_10,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_10.jpg,17
backer_11,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_11.jpg,17
backer_12,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_12.jpg,17
backer_13,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_13.jpg,17
backer_14,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_14.jpg,9
backer_15,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_15.jpg,9
backer_16,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_16.jpg,9
backer_17,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_17.jpg,9
backer_18,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_18.jpg,17
backer_19,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_19.jpg,9
backer_2,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_2.jpg,17
backer_20,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_20.jpg,9
backer_21,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_21.jpg,17
backer_22,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_22.jpg,17
backer_23,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_23.jpg,9
backer_24,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_24.jpg,9
backer_25,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_25.jpg,9
backer_26,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_26.jpg,9
backer_27,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_27.jpg,17
backer_28,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_28.jpg,9
backer_29,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_29.jpg,9
backer_3,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_3.jpg,17
backer_30,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_30.jpg,9
backer_31,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_31.jpg,9
backer_32,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_32.jpg,17
backer_33,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_33.jpg,9
backer_34,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_34.jpg,9
backer_35,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_35.jpg,9
backer_36,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_36.jpg,9
backer_37,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_37.jpg,9
backer_4,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_4.jpg,17
backer_5,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_5.jpg,9
backer_6,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_6.jpg,17
backer_7,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_7.jpg,17
backer_8,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_8.jpg,17
backer_9,harriet-backer,..\bd-peintres-v6\backer - harriet-backer_1845\backer_9.jpg,9
bacon_1,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_1.jpg,8
bacon_10,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_10.jpg,8
bacon_11,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_11.jpg,8
bacon_12,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_12.jpg,18
bacon_13,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_13.jpg,8
bacon_14,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_14.jpg,8
bacon_15,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_15.jpg,8
bacon_16,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_16.jpg,8
bacon_17,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_17.jpg,8
bacon_18,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_18.jpg,8
bacon_19,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_19.jpg,8
bacon_2,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_2.jpg,8
bacon_20,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_20.jpg,8
bacon_21,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_21.jpg,8
bacon_22,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_22.jpg,8
bacon_23,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_23.jpg,8
bacon_24,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_24.jpg,8
bacon_25,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_25.jpg,18
bacon_26,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_26.jpg,8
bacon_27,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_27.jpg,16
bacon_28,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_28.jpg,18
bacon_29,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_29.jpg,18
bacon_3,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_3.jpg,18
bacon_30,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_30.jpg,8
bacon_31,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_31.jpg,8
bacon_32,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_32.jpg,8
bacon_33,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_33.jpg,8
bacon_34,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_34.jpg,8
bacon_35,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_35.jpg,16
bacon_36,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_36.jpg,18
bacon_37,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_37.jpg,8
bacon_38,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_38.jpg,8
bacon_39,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_39.jpg,18
bacon_4,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_4.jpg,18
bacon_40,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_40.jpg,18
bacon_41,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_41.jpg,8
bacon_42,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_42.jpg,8
bacon_43,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_43.jpg,8
bacon_44,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_44.jpg,8
bacon_45,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_45.jpg,18
bacon_46,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_46.jpg,8
bacon_47,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_47.jpg,8
bacon_48,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_48.jpg,8
bacon_49,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_49.jpg,8
bacon_5,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_5.jpg,8
bacon_50,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_50.jpg,18
bacon_51,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_51.jpg,8
bacon_52,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_52.jpg,8
bacon_53,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_53.jpg,8
bacon_54,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_54.jpg,8
bacon_55,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_55.jpg,8
bacon_56,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_56.jpg,18
bacon_57,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_57.jpg,8
bacon_58,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_58.jpg,8
bacon_59,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_59.jpg,8
bacon_6,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_6.jpg,8
bacon_60,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_60.jpg,8
bacon_61,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_61.jpg,18
bacon_62,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_62.jpg,8
bacon_63,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_63.jpg,8
bacon_64,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_64.jpg,8
bacon_65,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_65.jpg,16
bacon_66,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_66.jpg,8
bacon_67,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_67.jpg,8
bacon_68,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_68.jpg,8
bacon_69,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_69.jpg,18
bacon_7,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_7.jpg,18
bacon_70,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_70.jpg,8
bacon_71,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_71.jpg,18
bacon_72,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_72.jpg,8
bacon_73,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_73.jpg,8
bacon_74,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_74.jpg,8
bacon_75,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_75.jpg,8
bacon_76,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_76.jpg,8
bacon_77,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_77.jpg,8
bacon_78,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_78.jpg,8
bacon_79,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_79.jpg,8
bacon_8,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_8.jpg,8
bacon_80,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_80.jpg,8
bacon_9,francis-bacon,..\bd-peintres-v6\bacon - francis-bacon_1909\bacon_9.jpg,18
balke_1,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_1.jpg,12
balke_10,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_10.jpg,12
balke_11,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_11.jpg,12
balke_12,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_12.jpg,12
balke_13,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_13.jpg,12
balke_14,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_14.jpg,12
balke_15,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_15.jpg,12
balke_16,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_16.jpg,12
balke_17,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_17.jpg,12
balke_2,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_2.jpg,12
balke_3,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_3.jpg,12
balke_4,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_4.jpg,12
balke_5,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_5.jpg,12
balke_6,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_6.jpg,12
balke_7,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_7.jpg,12
balke_8,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_8.jpg,12
balke_9,peder-balke,..\bd-peintres-v6\balke - peder-balke_1804\balke_9.jpg,12
baselitz_1,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_1.jpg,3
baselitz_10,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_10.jpg,3
baselitz_11,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_11.jpg,3
baselitz_12,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_12.jpg,3
baselitz_13,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_13.jpg,3
baselitz_14,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_14.jpg,3
baselitz_15,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_15.jpg,3
baselitz_16,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_16.jpg,3
baselitz_17,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_17.jpg,3
baselitz_18,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_18.jpg,3
baselitz_19,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_19.jpg,3
baselitz_2,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_2.jpg,3
baselitz_20,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_20.jpg,3
baselitz_21,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_21.jpg,3
baselitz_22,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_22.jpg,3
baselitz_23,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_23.jpg,3
baselitz_24,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_24.jpg,3
baselitz_25,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_25.jpg,3
baselitz_26,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_26.jpg,3
baselitz_27,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_27.jpg,3
baselitz_28,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_28.jpg,13
baselitz_29,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_29.jpg,3
baselitz_3,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_3.jpg,3
baselitz_30,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_30.jpg,3
baselitz_31,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_31.jpg,3
baselitz_32,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_32.jpg,3
baselitz_33,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_33.jpg,3
baselitz_4,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_4.jpg,3
baselitz_5,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_5.jpg,3
baselitz_6,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_6.jpg,3
baselitz_7,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_7.jpg,3
baselitz_8,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_8.jpg,3
baselitz_9,georg-baselitz,..\bd-peintres-v6\baselitz - georg-baselitz_1938\baselitz_9.jpg,3
basquiat_1,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_1.jpg,13
basquiat_10,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_10.jpg,13
basquiat_11,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_11.jpg,13
basquiat_12,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_12.jpg,13
basquiat_13,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_13.jpg,13
basquiat_14,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_14.jpg,3
basquiat_15,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_15.jpg,13
basquiat_16,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_16.jpg,13
basquiat_17,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_17.jpg,13
basquiat_18,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_18.jpg,13
basquiat_19,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_19.jpg,13
basquiat_2,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_2.jpg,13
basquiat_20,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_20.jpg,3
basquiat_21,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_21.jpg,13
basquiat_22,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_22.jpg,13
basquiat_23,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_23.jpg,3
basquiat_24,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_24.jpg,13
basquiat_25,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_25.jpg,13
basquiat_26,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_26.jpg,13
basquiat_27,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_27.jpg,3
basquiat_28,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_28.jpg,13
basquiat_29,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_29.jpg,13
basquiat_3,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_3.jpg,13
basquiat_30,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_30.jpg,13
basquiat_31,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_31.jpg,13
basquiat_32,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_32.jpg,13
basquiat_33,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_33.jpg,13
basquiat_34,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_34.jpg,13
basquiat_35,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_35.jpg,13
basquiat_36,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_36.jpg,13
basquiat_37,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_37.jpg,13
basquiat_38,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_38.jpg,13
basquiat_39,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_39.jpg,13
basquiat_4,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_4.jpg,13
basquiat_40,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_40.jpg,13
basquiat_41,jean-michel-basquiat,..\bd-peintres-v6\basquiat - jean-michel-basquiat_1960\basquiat_41.jpg,13
